Localización,Precio m2 feb 2026,Precio m2 2025,Precio m2 2024,Precio m2 2023,Precio m2 2022,Precio m2 2021,Precio m2 2020,Precio m2 2019
Almería provincia,1521,1509,1306,1196,1125,1089,1083,1095
Cádiz provincia,2284,2249,1975,1802,1650,1537,1523,1511
Córdoba provincia,1307,1290,1221,1242,1179,1160,1175,1243
Granada provincia,1761,1723,1503,1397,1328,1285,1201,1209
Huelva provincia,1656,1618,1509,1394,1298,1260,1255,1234
Jaén provincia,868,863,844,830,803,826,850,858
Málaga provincia,4107,4047,3507,3079,2766,2446,2268,2191
Sevilla provincia,1861,1850,1625,1557,1463,1394,1406,1411
Huesca provincia,1711,1670,1583,1492,1360,1395,1396,1399
Teruel provincia,965,941,958,912,876,884,901,896
Zaragoza provincia,1683,1684,1538,1452,1380,1345,1336,1339
Asturias,1728,1706,1471,1371,1343,1336,1346,1337
Baleares,5228,5160,4707,4083,3625,3291,3091,3042
Las Palmas,2978,2888,2649,2279,2066,1961,1940,1909
Santa Cruz de Tenerife provincia,3396,3327,3000,2555,2125,1970,1806,1797
Cantabria,2059,2070,1746,1572,1500,1465,1448,1447
Ávila provincia,1067,1035,917,887,837,845,846,853
Burgos provincia,1282,1266,1244,1213,1153,1181,1183,1185
León provincia,1105,1089,1007,993,971,1002,985,1000
Palencia provincia,1164,1191,1117,1112,1087,1130,1137,1181
Salamanca provincia,1534,1544,1405,1334,1311,1318,1302,1341
Segovia provincia,1474,1479,1345,1252,1195,1121,1089,1085
Soria provincia,1103,1199,1159,1143,1019,989,1002,968
Valladolid provincia,1532,1528,1467,1373,1334,1309,1277,1249
Zamora provincia,993,974,970,933,961,964,980,993
Albacete provincia,1207,1214,1165,1124,1068,1047,1069,1087
Ciudad Real provincia,785,769,751,745,750,770,771,807
Cuenca provincia,859,873,846,852,793,802,780,773
Guadalajara provincia,1525,1500,1324,1231,1158,1083,1058,1044
Toledo provincia,1098,1078,932,856,839,827,772,780
Barcelona provincia,3134,3124,2814,2638,2673,2655,2647,2609
Girona provincia,2676,2657,2432,2259,2144,2095,2045,2015
Lleida provincia,1564,1497,1423,1280,1202,1253,1199,1190
Tarragona provincia,1785,1777,1623,1522,1415,1376,1327,1360
Alicante/Alacant,2707,2703,2364,2055,1851,1681,1607,1561
Castellón/Castelló,1526,1496,1326,1221,1119,1111,1090,1113
Valencia/Valéncia,2002,1968,1602,1398,1267,1215,1224,1224
Álava,2482,2485,2403,2267,2212,2184,2045,1997
Guipúzcoa,4280,4189,3746,3505,3370,3199,3149,2953
Vizcaya,3330,3293,2934,2758,2702,2632,2589,2547
Badajoz provincia,1016,1006,972,978,967,953,919,899
Cáceres provincia,1071,1068,1001,934,912,924,925,880
A Coruña provincia,1588,1574,1435,1346,1282,1270,1304,1317
Lugo provincia,1072,1094,1056,1014,981,974,1012,1028
Ourense provincia,1038,1061,1092,1145,1160,1151,1164,1135
Pontevedra provincia,1836,1806,1715,1608,1589,1566,1504,1491
La Rioja,1447,1458,1349,1327,1260,1265,1240,1199
Madrid provincia,4640,4562,3771,3208,3062,2897,2774,2723
Melilla provincia,2048,2050,1994,1934,1885,1842,1777,1765
Murcia provincia,1682,1704,1379,1186,1080,1063,1048,1058
Navarra,1896,1838,1795,1687,1568,1484,1451,1427
Ceuta provincia,,2377,2350,2187,2124,2084,2246,2084