Localización,feb 2026,2025,2024,2023,2022,2021,2020,2019
España,2673,2639,2271,2042,1888,1809,1754,1739
Andalucía,2817,2755,2318,2078,1891,1778,1660,1652
Aragón,1618,1609,1497,1417,1333,1319,1318,1320
Asturias,1728,1706,1471,1371,1343,1336,1346,1337
Baleares,5228,5160,4707,4083,3625,3291,3091,3042
Canarias,3231,3150,2846,2432,2099,1966,1867,1847
Cantabria,2059,2070,1746,1572,1500,1465,1448,1447
Castilla y León,1298,1296,1216,1176,1137,1148,1135,1148
Castilla-La Mancha,1055,1041,957,917,889,879,868,875
Cataluña,2784,2773,2495,2339,2295,2277,2244,2212
Comunitat Valenciana,2427,2418,2061,1776,1596,1479,1413,1386
Euskadi,3476,3421,3076,2864,2773,2690,2641,2559
Extremadura,1042,1035,986,959,943,941,921,891
Galicia,1513,1508,1437,1375,1338,1328,1327,1331
La Rioja,1447,1458,1349,1327,1260,1265,1240,1199
Madrid Comunidad,4640,4562,3771,3208,3062,2897,2774,2723
Melilla,2048,2050,1994,1934,1885,1842,1777,1765
Murcia Región,1682,1704,1379,1186,1080,1063,1048,1058
Navarra,1896,1838,1795,1687,1568,1484,1451,1427
Ceuta,,2377,2350,2187,2124,2084,2246,2084