Total Nacional;Comunidades y Ciudades Autónomas;General, vivienda nueva y de segunda mano;Índices y tasas;Periodo;Total
Nacional;;General;Índice;2025T4;186,750
Nacional;;General;Índice;2025T3;183,389
Nacional;;General;Índice;2025T2;178,184
Nacional;;General;Índice;2025T1;171,296
Nacional;;General;Índice;2024T4;165,433
Nacional;;General;Índice;2024T3;162,521
Nacional;;General;Índice;2024T2;158,083
Nacional;;General;Índice;2024T1;152,618
Nacional;;General;Índice;2023T4;148,690
Nacional;;General;Índice;2023T3;150,273
Nacional;;General;Índice;2023T2;146,583
Nacional;;General;Índice;2023T1;143,580
Nacional;;General;Índice;2022T4;142,666
Nacional;;General;Índice;2022T3;143,860
Nacional;;General;Índice;2022T2;141,433
Nacional;;General;Índice;2022T1;138,742
Nacional;;General;Índice;2021T4;135,291
Nacional;;General;Índice;2021T3;133,652
Nacional;;General;Índice;2021T2;130,937
Nacional;;General;Índice;2021T1;127,831
Nacional;;General;Índice;2020T4;127,179
Nacional;;General;Índice;2020T3;128,255
Nacional;;General;Índice;2020T2;126,799
Nacional;;General;Índice;2020T1;126,695
Nacional;;General;Índice;2019T4;125,320
Nacional;;General;Índice;2019T3;126,135
Nacional;;General;Índice;2019T2;124,175
Nacional;;General;Índice;2019T1;122,758
Nacional;01 Andalucía;General;Índice;2025T4;185,917
Nacional;01 Andalucía;General;Índice;2025T3;182,372
Nacional;01 Andalucía;General;Índice;2025T2;177,504
Nacional;01 Andalucía;General;Índice;2025T1;170,858
Nacional;01 Andalucía;General;Índice;2024T4;165,457
Nacional;01 Andalucía;General;Índice;2024T3;162,275
Nacional;01 Andalucía;General;Índice;2024T2;156,273
Nacional;01 Andalucía;General;Índice;2024T1;149,880
Nacional;01 Andalucía;General;Índice;2023T4;145,927
Nacional;01 Andalucía;General;Índice;2023T3;146,784
Nacional;01 Andalucía;General;Índice;2023T2;142,672
Nacional;01 Andalucía;General;Índice;2023T1;138,890
Nacional;01 Andalucía;General;Índice;2022T4;138,587
Nacional;01 Andalucía;General;Índice;2022T3;138,730
Nacional;01 Andalucía;General;Índice;2022T2;136,525
Nacional;01 Andalucía;General;Índice;2022T1;133,300
Nacional;01 Andalucía;General;Índice;2021T4;130,178
Nacional;01 Andalucía;General;Índice;2021T3;128,119
Nacional;01 Andalucía;General;Índice;2021T2;123,878
Nacional;01 Andalucía;General;Índice;2021T1;120,217
Nacional;01 Andalucía;General;Índice;2020T4;120,518
Nacional;01 Andalucía;General;Índice;2020T3;120,819
Nacional;01 Andalucía;General;Índice;2020T2;119,613
Nacional;01 Andalucía;General;Índice;2020T1;119,440
Nacional;01 Andalucía;General;Índice;2019T4;118,553
Nacional;01 Andalucía;General;Índice;2019T3;119,331
Nacional;01 Andalucía;General;Índice;2019T2;116,842
Nacional;01 Andalucía;General;Índice;2019T1;114,705
Nacional;02 Aragón;General;Índice;2025T4;179,035
Nacional;02 Aragón;General;Índice;2025T3;176,563
Nacional;02 Aragón;General;Índice;2025T2;170,432
Nacional;02 Aragón;General;Índice;2025T1;162,696
Nacional;02 Aragón;General;Índice;2024T4;156,497
Nacional;02 Aragón;General;Índice;2024T3;154,092
Nacional;02 Aragón;General;Índice;2024T2;149,893
Nacional;02 Aragón;General;Índice;2024T1;143,668
Nacional;02 Aragón;General;Índice;2023T4;138,068
Nacional;02 Aragón;General;Índice;2023T3;139,690
Nacional;02 Aragón;General;Índice;2023T2;136,449
Nacional;02 Aragón;General;Índice;2023T1;134,247
Nacional;02 Aragón;General;Índice;2022T4;132,396
Nacional;02 Aragón;General;Índice;2022T3;133,388
Nacional;02 Aragón;General;Índice;2022T2;131,950
Nacional;02 Aragón;General;Índice;2022T1;130,106
Nacional;02 Aragón;General;Índice;2021T4;126,951
Nacional;02 Aragón;General;Índice;2021T3;125,622
Nacional;02 Aragón;General;Índice;2021T2;122,696
Nacional;02 Aragón;General;Índice;2021T1;120,807
Nacional;02 Aragón;General;Índice;2020T4;119,395
Nacional;02 Aragón;General;Índice;2020T3;120,261
Nacional;02 Aragón;General;Índice;2020T2;119,737
Nacional;02 Aragón;General;Índice;2020T1;118,557
Nacional;02 Aragón;General;Índice;2019T4;118,107
Nacional;02 Aragón;General;Índice;2019T3;117,328
Nacional;02 Aragón;General;Índice;2019T2;116,219
Nacional;02 Aragón;General;Índice;2019T1;114,400
Nacional;03 Asturias, Principado de;General;Índice;2025T4;167,186
Nacional;03 Asturias, Principado de;General;Índice;2025T3;162,381
Nacional;03 Asturias, Principado de;General;Índice;2025T2;158,852
Nacional;03 Asturias, Principado de;General;Índice;2025T1;152,219
Nacional;03 Asturias, Principado de;General;Índice;2024T4;146,765
Nacional;03 Asturias, Principado de;General;Índice;2024T3;143,078
Nacional;03 Asturias, Principado de;General;Índice;2024T2;139,913
Nacional;03 Asturias, Principado de;General;Índice;2024T1;134,630
Nacional;03 Asturias, Principado de;General;Índice;2023T4;131,352
Nacional;03 Asturias, Principado de;General;Índice;2023T3;133,866
Nacional;03 Asturias, Principado de;General;Índice;2023T2;130,306
Nacional;03 Asturias, Principado de;General;Índice;2023T1;128,079
Nacional;03 Asturias, Principado de;General;Índice;2022T4;126,946
Nacional;03 Asturias, Principado de;General;Índice;2022T3;127,452
Nacional;03 Asturias, Principado de;General;Índice;2022T2;126,693
Nacional;03 Asturias, Principado de;General;Índice;2022T1;123,636
Nacional;03 Asturias, Principado de;General;Índice;2021T4;121,340
Nacional;03 Asturias, Principado de;General;Índice;2021T3;119,777
Nacional;03 Asturias, Principado de;General;Índice;2021T2;118,855
Nacional;03 Asturias, Principado de;General;Índice;2021T1;115,257
Nacional;03 Asturias, Principado de;General;Índice;2020T4;114,305
Nacional;03 Asturias, Principado de;General;Índice;2020T3;114,498
Nacional;03 Asturias, Principado de;General;Índice;2020T2;114,686
Nacional;03 Asturias, Principado de;General;Índice;2020T1;112,800
Nacional;03 Asturias, Principado de;General;Índice;2019T4;112,223
Nacional;03 Asturias, Principado de;General;Índice;2019T3;111,463
Nacional;03 Asturias, Principado de;General;Índice;2019T2;110,472
Nacional;03 Asturias, Principado de;General;Índice;2019T1;108,084
Nacional;04 Balears, Illes;General;Índice;2025T4;203,457
Nacional;04 Balears, Illes;General;Índice;2025T3;199,625
Nacional;04 Balears, Illes;General;Índice;2025T2;192,349
Nacional;04 Balears, Illes;General;Índice;2025T1;185,053
Nacional;04 Balears, Illes;General;Índice;2024T4;179,469
Nacional;04 Balears, Illes;General;Índice;2024T3;177,025
Nacional;04 Balears, Illes;General;Índice;2024T2;172,207
Nacional;04 Balears, Illes;General;Índice;2024T1;168,273
Nacional;04 Balears, Illes;General;Índice;2023T4;165,249
Nacional;04 Balears, Illes;General;Índice;2023T3;167,280
Nacional;04 Balears, Illes;General;Índice;2023T2;162,183
Nacional;04 Balears, Illes;General;Índice;2023T1;159,060
Nacional;04 Balears, Illes;General;Índice;2022T4;158,300
Nacional;04 Balears, Illes;General;Índice;2022T3;160,112
Nacional;04 Balears, Illes;General;Índice;2022T2;157,098
Nacional;04 Balears, Illes;General;Índice;2022T1;152,625
Nacional;04 Balears, Illes;General;Índice;2021T4;149,462
Nacional;04 Balears, Illes;General;Índice;2021T3;147,791
Nacional;04 Balears, Illes;General;Índice;2021T2;141,694
Nacional;04 Balears, Illes;General;Índice;2021T1;136,265
Nacional;04 Balears, Illes;General;Índice;2020T4;136,398
Nacional;04 Balears, Illes;General;Índice;2020T3;138,410
Nacional;04 Balears, Illes;General;Índice;2020T2;134,061
Nacional;04 Balears, Illes;General;Índice;2020T1;134,726
Nacional;04 Balears, Illes;General;Índice;2019T4;133,139
Nacional;04 Balears, Illes;General;Índice;2019T3;133,920
Nacional;04 Balears, Illes;General;Índice;2019T2;128,181
Nacional;04 Balears, Illes;General;Índice;2019T1;127,149
Nacional;05 Canarias;General;Índice;2025T4;178,512
Nacional;05 Canarias;General;Índice;2025T3;177,382
Nacional;05 Canarias;General;Índice;2025T2;173,589
Nacional;05 Canarias;General;Índice;2025T1;168,596
Nacional;05 Canarias;General;Índice;2024T4;160,865
Nacional;05 Canarias;General;Índice;2024T3;158,063
Nacional;05 Canarias;General;Índice;2024T2;155,476
Nacional;05 Canarias;General;Índice;2024T1;149,974
Nacional;05 Canarias;General;Índice;2023T4;145,446
Nacional;05 Canarias;General;Índice;2023T3;147,573
Nacional;05 Canarias;General;Índice;2023T2;143,283
Nacional;05 Canarias;General;Índice;2023T1;141,738
Nacional;05 Canarias;General;Índice;2022T4;139,123
Nacional;05 Canarias;General;Índice;2022T3;138,435
Nacional;05 Canarias;General;Índice;2022T2;137,058
Nacional;05 Canarias;General;Índice;2022T1;134,345
Nacional;05 Canarias;General;Índice;2021T4;128,649
Nacional;05 Canarias;General;Índice;2021T3;128,119
Nacional;05 Canarias;General;Índice;2021T2;125,239
Nacional;05 Canarias;General;Índice;2021T1;121,160
Nacional;05 Canarias;General;Índice;2020T4;119,330
Nacional;05 Canarias;General;Índice;2020T3;119,790
Nacional;05 Canarias;General;Índice;2020T2;117,712
Nacional;05 Canarias;General;Índice;2020T1;119,008
Nacional;05 Canarias;General;Índice;2019T4;118,344
Nacional;05 Canarias;General;Índice;2019T3;118,096
Nacional;05 Canarias;General;Índice;2019T2;116,974
Nacional;05 Canarias;General;Índice;2019T1;116,934
Nacional;06 Cantabria;General;Índice;2025T4;183,432
Nacional;06 Cantabria;General;Índice;2025T3;179,330
Nacional;06 Cantabria;General;Índice;2025T2;171,527
Nacional;06 Cantabria;General;Índice;2025T1;165,005
Nacional;06 Cantabria;General;Índice;2024T4;161,488
Nacional;06 Cantabria;General;Índice;2024T3;159,264
Nacional;06 Cantabria;General;Índice;2024T2;154,782
Nacional;06 Cantabria;General;Índice;2024T1;149,716
Nacional;06 Cantabria;General;Índice;2023T4;144,492
Nacional;06 Cantabria;General;Índice;2023T3;146,299
Nacional;06 Cantabria;General;Índice;2023T2;142,467
Nacional;06 Cantabria;General;Índice;2023T1;140,174
Nacional;06 Cantabria;General;Índice;2022T4;138,485
Nacional;06 Cantabria;General;Índice;2022T3;138,120
Nacional;06 Cantabria;General;Índice;2022T2;136,007
Nacional;06 Cantabria;General;Índice;2022T1;132,760
Nacional;06 Cantabria;General;Índice;2021T4;127,541
Nacional;06 Cantabria;General;Índice;2021T3;126,327
Nacional;06 Cantabria;General;Índice;2021T2;123,708
Nacional;06 Cantabria;General;Índice;2021T1;119,634
Nacional;06 Cantabria;General;Índice;2020T4;118,424
Nacional;06 Cantabria;General;Índice;2020T3;118,200
Nacional;06 Cantabria;General;Índice;2020T2;117,457
Nacional;06 Cantabria;General;Índice;2020T1;117,236
Nacional;06 Cantabria;General;Índice;2019T4;117,029
Nacional;06 Cantabria;General;Índice;2019T3;116,593
Nacional;06 Cantabria;General;Índice;2019T2;115,962
Nacional;06 Cantabria;General;Índice;2019T1;116,109
Nacional;07 Castilla y León;General;Índice;2025T4;166,611
Nacional;07 Castilla y León;General;Índice;2025T3;162,037
Nacional;07 Castilla y León;General;Índice;2025T2;157,423
Nacional;07 Castilla y León;General;Índice;2025T1;150,790
Nacional;07 Castilla y León;General;Índice;2024T4;144,488
Nacional;07 Castilla y León;General;Índice;2024T3;141,613
Nacional;07 Castilla y León;General;Índice;2024T2;138,609
Nacional;07 Castilla y León;General;Índice;2024T1;134,114
Nacional;07 Castilla y León;General;Índice;2023T4;130,679
Nacional;07 Castilla y León;General;Índice;2023T3;131,138
Nacional;07 Castilla y León;General;Índice;2023T2;129,698
Nacional;07 Castilla y León;General;Índice;2023T1;126,637
Nacional;07 Castilla y León;General;Índice;2022T4;126,291
Nacional;07 Castilla y León;General;Índice;2022T3;127,999
Nacional;07 Castilla y León;General;Índice;2022T2;126,114
Nacional;07 Castilla y León;General;Índice;2022T1;123,547
Nacional;07 Castilla y León;General;Índice;2021T4;121,361
Nacional;07 Castilla y León;General;Índice;2021T3;120,120
Nacional;07 Castilla y León;General;Índice;2021T2;118,515
Nacional;07 Castilla y León;General;Índice;2021T1;115,202
Nacional;07 Castilla y León;General;Índice;2020T4;115,164
Nacional;07 Castilla y León;General;Índice;2020T3;115,243
Nacional;07 Castilla y León;General;Índice;2020T2;115,509
Nacional;07 Castilla y León;General;Índice;2020T1;112,962
Nacional;07 Castilla y León;General;Índice;2019T4;113,657
Nacional;07 Castilla y León;General;Índice;2019T3;112,732
Nacional;07 Castilla y León;General;Índice;2019T2;112,193
Nacional;07 Castilla y León;General;Índice;2019T1;109,751
Nacional;08 Castilla - La Mancha;General;Índice;2025T4;148,275
Nacional;08 Castilla - La Mancha;General;Índice;2025T3;145,063
Nacional;08 Castilla - La Mancha;General;Índice;2025T2;141,709
Nacional;08 Castilla - La Mancha;General;Índice;2025T1;136,159
Nacional;08 Castilla - La Mancha;General;Índice;2024T4;131,455
Nacional;08 Castilla - La Mancha;General;Índice;2024T3;129,997
Nacional;08 Castilla - La Mancha;General;Índice;2024T2;127,322
Nacional;08 Castilla - La Mancha;General;Índice;2024T1;123,353
Nacional;08 Castilla - La Mancha;General;Índice;2023T4;120,963
Nacional;08 Castilla - La Mancha;General;Índice;2023T3;121,611
Nacional;08 Castilla - La Mancha;General;Índice;2023T2;120,939
Nacional;08 Castilla - La Mancha;General;Índice;2023T1;117,560
Nacional;08 Castilla - La Mancha;General;Índice;2022T4;118,496
Nacional;08 Castilla - La Mancha;General;Índice;2022T3;120,366
Nacional;08 Castilla - La Mancha;General;Índice;2022T2;118,588
Nacional;08 Castilla - La Mancha;General;Índice;2022T1;115,686
Nacional;08 Castilla - La Mancha;General;Índice;2021T4;113,907
Nacional;08 Castilla - La Mancha;General;Índice;2021T3;112,940
Nacional;08 Castilla - La Mancha;General;Índice;2021T2;111,840
Nacional;08 Castilla - La Mancha;General;Índice;2021T1;107,989
Nacional;08 Castilla - La Mancha;General;Índice;2020T4;109,532
Nacional;08 Castilla - La Mancha;General;Índice;2020T3;109,655
Nacional;08 Castilla - La Mancha;General;Índice;2020T2;109,242
Nacional;08 Castilla - La Mancha;General;Índice;2020T1;107,689
Nacional;08 Castilla - La Mancha;General;Índice;2019T4;108,241
Nacional;08 Castilla - La Mancha;General;Índice;2019T3;108,160
Nacional;08 Castilla - La Mancha;General;Índice;2019T2;107,576
Nacional;08 Castilla - La Mancha;General;Índice;2019T1;106,595
Nacional;09 Cataluńa;General;Índice;2025T4;193,427
Nacional;09 Cataluńa;General;Índice;2025T3;190,561
Nacional;09 Cataluńa;General;Índice;2025T2;185,881
Nacional;09 Cataluńa;General;Índice;2025T1;180,959
Nacional;09 Cataluńa;General;Índice;2024T4;174,491
Nacional;09 Cataluńa;General;Índice;2024T3;171,230
Nacional;09 Cataluńa;General;Índice;2024T2;166,573
Nacional;09 Cataluńa;General;Índice;2024T1;162,075
Nacional;09 Cataluńa;General;Índice;2023T4;158,037
Nacional;09 Cataluńa;General;Índice;2023T3;160,395
Nacional;09 Cataluńa;General;Índice;2023T2;156,147
Nacional;09 Cataluńa;General;Índice;2023T1;153,461
Nacional;09 Cataluńa;General;Índice;2022T4;152,647
Nacional;09 Cataluńa;General;Índice;2022T3;154,552
Nacional;09 Cataluńa;General;Índice;2022T2;151,314
Nacional;09 Cataluńa;General;Índice;2022T1;148,291
Nacional;09 Cataluńa;General;Índice;2021T4;144,743
Nacional;09 Cataluńa;General;Índice;2021T3;142,940
Nacional;09 Cataluńa;General;Índice;2021T2;141,133
Nacional;09 Cataluńa;General;Índice;2021T1;137,675
Nacional;09 Cataluńa;General;Índice;2020T4;136,461
Nacional;09 Cataluńa;General;Índice;2020T3;138,395
Nacional;09 Cataluńa;General;Índice;2020T2;136,693
Nacional;09 Cataluńa;General;Índice;2020T1;136,020
Nacional;09 Cataluńa;General;Índice;2019T4;135,113
Nacional;09 Cataluńa;General;Índice;2019T3;136,037
Nacional;09 Cataluńa;General;Índice;2019T2;133,590
Nacional;09 Cataluńa;General;Índice;2019T1;131,836
Nacional;10 Comunitat Valenciana;General;Índice;2025T4;174,969
Nacional;10 Comunitat Valenciana;General;Índice;2025T3;170,956
Nacional;10 Comunitat Valenciana;General;Índice;2025T2;165,435
Nacional;10 Comunitat Valenciana;General;Índice;2025T1;158,202
