Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Municipios;Viviendas y plazas;Periodo;Total
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas turísticas;2025M11;6.206
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas turísticas;2025M05;7.659
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas turísticas;2024M11;7.273
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas turísticas;2024M08;8.704
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas turísticas;2024M02;6.807
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas turísticas;2023M08;7.020
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas turísticas;2023M02;5.527
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas turísticas;2022M08;6.100
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas turísticas;2022M02;4.914
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas turísticas;2021M08;5.690
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas turísticas;2021M02;4.750
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas turísticas;2020M08;5.574
Total Nacional;10 Comunitat Valenciana;46 Valencia/Valčncia;;Viviendas turísticas;2025M11;12.538
Total Nacional;10 Comunitat Valenciana;46 Valencia/Valčncia;;Viviendas turísticas;2025M05;15.258
Total Nacional;10 Comunitat Valenciana;46 Valencia/Valčncia;;Viviendas turísticas;2024M11;16.293
Total Nacional;10 Comunitat Valenciana;46 Valencia/Valčncia;;Viviendas turísticas;2024M08;17.853
Total Nacional;10 Comunitat Valenciana;46 Valencia/Valčncia;;Viviendas turísticas;2024M02;14.599
Total Nacional;10 Comunitat Valenciana;46 Valencia/Valčncia;;Viviendas turísticas;2023M08;13.355
Total Nacional;10 Comunitat Valenciana;46 Valencia/Valčncia;;Viviendas turísticas;2023M02;11.308
Total Nacional;10 Comunitat Valenciana;46 Valencia/Valčncia;;Viviendas turísticas;2022M08;11.530
Total Nacional;10 Comunitat Valenciana;46 Valencia/Valčncia;;Viviendas turísticas;2022M02;10.543
Total Nacional;10 Comunitat Valenciana;46 Valencia/Valčncia;;Viviendas turísticas;2021M08;11.581
Total Nacional;10 Comunitat Valenciana;46 Valencia/Valčncia;;Viviendas turísticas;2021M02;11.616
Total Nacional;10 Comunitat Valenciana;46 Valencia/Valčncia;;Viviendas turísticas;2020M08;13.348
Total Nacional;11 Extremadura;;;Viviendas turísticas;2025M11;2.114
Total Nacional;11 Extremadura;;;Viviendas turísticas;2025M05;2.005
Total Nacional;11 Extremadura;;;Viviendas turísticas;2024M11;2.033
Total Nacional;11 Extremadura;;;Viviendas turísticas;2024M08;2.024
Total Nacional;11 Extremadura;;;Viviendas turísticas;2024M02;1.759
Total Nacional;11 Extremadura;;;Viviendas turísticas;2023M08;1.592
Total Nacional;11 Extremadura;;;Viviendas turísticas;2023M02;1.520
Total Nacional;11 Extremadura;;;Viviendas turísticas;2022M08;1.478
Total Nacional;11 Extremadura;;;Viviendas turísticas;2022M02;1.282
Total Nacional;11 Extremadura;;;Viviendas turísticas;2021M08;1.289
Total Nacional;11 Extremadura;;;Viviendas turísticas;2021M02;1.268
Total Nacional;11 Extremadura;;;Viviendas turísticas;2020M08;1.366
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas turísticas;2025M11;679
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas turísticas;2025M05;657
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas turísticas;2024M11;661
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas turísticas;2024M08;657
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas turísticas;2024M02;550
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas turísticas;2023M08;493
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas turísticas;2023M02;462
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas turísticas;2022M08;430
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas turísticas;2022M02;338
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas turísticas;2021M08;326
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas turísticas;2021M02;330
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas turísticas;2020M08;384
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas turísticas;2025M11;1.435
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas turísticas;2025M05;1.348
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas turísticas;2024M11;1.372
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas turísticas;2024M08;1.367
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas turísticas;2024M02;1.209
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas turísticas;2023M08;1.099
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas turísticas;2023M02;1.058
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas turísticas;2022M08;1.048
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas turísticas;2022M02;944
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas turísticas;2021M08;963
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas turísticas;2021M02;938
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas turísticas;2020M08;982
Total Nacional;12 Galicia;;;Viviendas turísticas;2025M11;15.236
Total Nacional;12 Galicia;;;Viviendas turísticas;2025M05;19.996
Total Nacional;12 Galicia;;;Viviendas turísticas;2024M11;19.676
Total Nacional;12 Galicia;;;Viviendas turísticas;2024M08;21.984
Total Nacional;12 Galicia;;;Viviendas turísticas;2024M02;17.883
Total Nacional;12 Galicia;;;Viviendas turísticas;2023M08;18.080
Total Nacional;12 Galicia;;;Viviendas turísticas;2023M02;14.775
Total Nacional;12 Galicia;;;Viviendas turísticas;2022M08;15.966
Total Nacional;12 Galicia;;;Viviendas turísticas;2022M02;12.695
Total Nacional;12 Galicia;;;Viviendas turísticas;2021M08;13.502
Total Nacional;12 Galicia;;;Viviendas turísticas;2021M02;11.398
Total Nacional;12 Galicia;;;Viviendas turísticas;2020M08;12.548
Total Nacional;12 Galicia;15 Coruńa, A;;Viviendas turísticas;2025M11;5.216
Total Nacional;12 Galicia;15 Coruńa, A;;Viviendas turísticas;2025M05;7.114
Total Nacional;12 Galicia;15 Coruńa, A;;Viviendas turísticas;2024M11;7.156
Total Nacional;12 Galicia;15 Coruńa, A;;Viviendas turísticas;2024M08;8.129
Total Nacional;12 Galicia;15 Coruńa, A;;Viviendas turísticas;2024M02;6.660
Total Nacional;12 Galicia;15 Coruńa, A;;Viviendas turísticas;2023M08;6.694
Total Nacional;12 Galicia;15 Coruńa, A;;Viviendas turísticas;2023M02;5.628
Total Nacional;12 Galicia;15 Coruńa, A;;Viviendas turísticas;2022M08;6.109
Total Nacional;12 Galicia;15 Coruńa, A;;Viviendas turísticas;2022M02;4.981
Total Nacional;12 Galicia;15 Coruńa, A;;Viviendas turísticas;2021M08;5.244
Total Nacional;12 Galicia;15 Coruńa, A;;Viviendas turísticas;2021M02;4.536
Total Nacional;12 Galicia;15 Coruńa, A;;Viviendas turísticas;2020M08;4.963
Total Nacional;12 Galicia;27 Lugo;;Viviendas turísticas;2025M11;2.355
Total Nacional;12 Galicia;27 Lugo;;Viviendas turísticas;2025M05;2.751
Total Nacional;12 Galicia;27 Lugo;;Viviendas turísticas;2024M11;2.679
Total Nacional;12 Galicia;27 Lugo;;Viviendas turísticas;2024M08;2.998
Total Nacional;12 Galicia;27 Lugo;;Viviendas turísticas;2024M02;2.422
Total Nacional;12 Galicia;27 Lugo;;Viviendas turísticas;2023M08;2.558
Total Nacional;12 Galicia;27 Lugo;;Viviendas turísticas;2023M02;2.064
Total Nacional;12 Galicia;27 Lugo;;Viviendas turísticas;2022M08;2.233
Total Nacional;12 Galicia;27 Lugo;;Viviendas turísticas;2022M02;1.673
Total Nacional;12 Galicia;27 Lugo;;Viviendas turísticas;2021M08;1.789
Total Nacional;12 Galicia;27 Lugo;;Viviendas turísticas;2021M02;1.443
Total Nacional;12 Galicia;27 Lugo;;Viviendas turísticas;2020M08;1.586
Total Nacional;12 Galicia;32 Ourense;;Viviendas turísticas;2025M11;981
Total Nacional;12 Galicia;32 Ourense;;Viviendas turísticas;2025M05;1.146
Total Nacional;12 Galicia;32 Ourense;;Viviendas turísticas;2024M11;1.120
Total Nacional;12 Galicia;32 Ourense;;Viviendas turísticas;2024M08;1.160
Total Nacional;12 Galicia;32 Ourense;;Viviendas turísticas;2024M02;1.009
Total Nacional;12 Galicia;32 Ourense;;Viviendas turísticas;2023M08;924
Total Nacional;12 Galicia;32 Ourense;;Viviendas turísticas;2023M02;790
Total Nacional;12 Galicia;32 Ourense;;Viviendas turísticas;2022M08;792
Total Nacional;12 Galicia;32 Ourense;;Viviendas turísticas;2022M02;671
Total Nacional;12 Galicia;32 Ourense;;Viviendas turísticas;2021M08;669
Total Nacional;12 Galicia;32 Ourense;;Viviendas turísticas;2021M02;592
Total Nacional;12 Galicia;32 Ourense;;Viviendas turísticas;2020M08;637
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas turísticas;2025M11;6.684
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas turísticas;2025M05;8.985
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas turísticas;2024M11;8.721
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas turísticas;2024M08;9.697
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas turísticas;2024M02;7.792
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas turísticas;2023M08;7.904
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas turísticas;2023M02;6.293
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas turísticas;2022M08;6.832
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas turísticas;2022M02;5.370
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas turísticas;2021M08;5.800
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas turísticas;2021M02;4.827
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas turísticas;2020M08;5.362
Total Nacional;13 Madrid, Comunidad de;;;Viviendas turísticas;2025M11;15.309
Total Nacional;13 Madrid, Comunidad de;;;Viviendas turísticas;2025M05;18.555
Total Nacional;13 Madrid, Comunidad de;;;Viviendas turísticas;2024M11;20.760
Total Nacional;13 Madrid, Comunidad de;;;Viviendas turísticas;2024M08;22.435
Total Nacional;13 Madrid, Comunidad de;;;Viviendas turísticas;2024M02;19.456
Total Nacional;13 Madrid, Comunidad de;;;Viviendas turísticas;2023M08;16.970
Total Nacional;13 Madrid, Comunidad de;;;Viviendas turísticas;2023M02;16.351
Total Nacional;13 Madrid, Comunidad de;;;Viviendas turísticas;2022M08;15.763
Total Nacional;13 Madrid, Comunidad de;;;Viviendas turísticas;2022M02;15.241
Total Nacional;13 Madrid, Comunidad de;;;Viviendas turísticas;2021M08;17.400
Total Nacional;13 Madrid, Comunidad de;;;Viviendas turísticas;2021M02;17.802
Total Nacional;13 Madrid, Comunidad de;;;Viviendas turísticas;2020M08;19.597
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas turísticas;2025M11;15.309
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas turísticas;2025M05;18.555
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas turísticas;2024M11;20.760
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas turísticas;2024M08;22.435
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas turísticas;2024M02;19.456
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas turísticas;2023M08;16.970
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas turísticas;2023M02;16.351
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas turísticas;2022M08;15.763
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas turísticas;2022M02;15.241
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas turísticas;2021M08;17.400
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas turísticas;2021M02;17.802
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas turísticas;2020M08;19.597
Total Nacional;19 Melilla;;;Viviendas turísticas;2025M11;30
Total Nacional;19 Melilla;;;Viviendas turísticas;2025M05;41
Total Nacional;19 Melilla;;;Viviendas turísticas;2024M11;50
Total Nacional;19 Melilla;;;Viviendas turísticas;2024M08;57
Total Nacional;19 Melilla;;;Viviendas turísticas;2024M02;38
Total Nacional;19 Melilla;;;Viviendas turísticas;2023M08;54
Total Nacional;19 Melilla;;;Viviendas turísticas;2023M02;55
Total Nacional;19 Melilla;;;Viviendas turísticas;2022M08;41
Total Nacional;19 Melilla;;;Viviendas turísticas;2022M02;45
Total Nacional;19 Melilla;;;Viviendas turísticas;2021M08;46
Total Nacional;19 Melilla;;;Viviendas turísticas;2021M02;43
Total Nacional;19 Melilla;;;Viviendas turísticas;2020M08;43
Total Nacional;19 Melilla;52 Melilla;;Viviendas turísticas;2025M11;30
Total Nacional;19 Melilla;52 Melilla;;Viviendas turísticas;2025M05;41
Total Nacional;19 Melilla;52 Melilla;;Viviendas turísticas;2024M11;50
Total Nacional;19 Melilla;52 Melilla;;Viviendas turísticas;2024M08;57
Total Nacional;19 Melilla;52 Melilla;;Viviendas turísticas;2024M02;38
Total Nacional;19 Melilla;52 Melilla;;Viviendas turísticas;2023M08;54
Total Nacional;19 Melilla;52 Melilla;;Viviendas turísticas;2023M02;55
Total Nacional;19 Melilla;52 Melilla;;Viviendas turísticas;2022M08;41
Total Nacional;19 Melilla;52 Melilla;;Viviendas turísticas;2022M02;45
Total Nacional;19 Melilla;52 Melilla;;Viviendas turísticas;2021M08;46
Total Nacional;19 Melilla;52 Melilla;;Viviendas turísticas;2021M02;43
Total Nacional;19 Melilla;52 Melilla;;Viviendas turísticas;2020M08;43
Total Nacional;14 Murcia, Región de;;;Viviendas turísticas;2025M11;5.621
Total Nacional;14 Murcia, Región de;;;Viviendas turísticas;2025M05;7.939
Total Nacional;14 Murcia, Región de;;;Viviendas turísticas;2024M11;8.406
Total Nacional;14 Murcia, Región de;;;Viviendas turísticas;2024M08;8.646
Total Nacional;14 Murcia, Región de;;;Viviendas turísticas;2024M02;7.309
Total Nacional;14 Murcia, Región de;;;Viviendas turísticas;2023M08;6.952
Total Nacional;14 Murcia, Región de;;;Viviendas turísticas;2023M02;6.288
Total Nacional;14 Murcia, Región de;;;Viviendas turísticas;2022M08;6.133
Total Nacional;14 Murcia, Región de;;;Viviendas turísticas;2022M02;5.554
Total Nacional;14 Murcia, Región de;;;Viviendas turísticas;2021M08;5.741
Total Nacional;14 Murcia, Región de;;;Viviendas turísticas;2021M02;5.722
Total Nacional;14 Murcia, Región de;;;Viviendas turísticas;2020M08;6.146
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas turísticas;2025M11;5.621
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas turísticas;2025M05;7.939
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas turísticas;2024M11;8.406
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas turísticas;2024M08;8.646
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas turísticas;2024M02;7.309
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas turísticas;2023M08;6.952
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas turísticas;2023M02;6.288
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas turísticas;2022M08;6.133
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas turísticas;2022M02;5.554
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas turísticas;2021M08;5.741
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas turísticas;2021M02;5.722
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas turísticas;2020M08;6.146
Total Nacional;15 Navarra, Comunidad Foral de;;;Viviendas turísticas;2025M11;1.463
Total Nacional;15 Navarra, Comunidad Foral de;;;Viviendas turísticas;2025M05;1.672
Total Nacional;15 Navarra, Comunidad Foral de;;;Viviendas turísticas;2024M11;1.679
Total Nacional;15 Navarra, Comunidad Foral de;;;Viviendas turísticas;2024M08;1.783
Total Nacional;15 Navarra, Comunidad Foral de;;;Viviendas turísticas;2024M02;1.583
Total Nacional;15 Navarra, Comunidad Foral de;;;Viviendas turísticas;2023M08;1.340
Total Nacional;15 Navarra, Comunidad Foral de;;;Viviendas turísticas;2023M02;1.236
Total Nacional;15 Navarra, Comunidad Foral de;;;Viviendas turísticas;2022M08;1.225
Total Nacional;15 Navarra, Comunidad Foral de;;;Viviendas turísticas;2022M02;936
Total Nacional;15 Navarra, Comunidad Foral de;;;Viviendas turísticas;2021M08;993
Total Nacional;15 Navarra, Comunidad Foral de;;;Viviendas turísticas;2021M02;993
Total Nacional;15 Navarra, Comunidad Foral de;;;Viviendas turísticas;2020M08;1.071
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas turísticas;2025M11;1.463
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas turísticas;2025M05;1.672
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas turísticas;2024M11;1.679
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas turísticas;2024M08;1.783
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas turísticas;2024M02;1.583
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas turísticas;2023M08;1.340
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas turísticas;2023M02;1.236
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas turísticas;2022M08;1.225
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas turísticas;2022M02;936
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas turísticas;2021M08;993
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas turísticas;2021M02;993
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas turísticas;2020M08;1.071
Total Nacional;16 País Vasco;;;Viviendas turísticas;2025M11;4.783
Total Nacional;16 País Vasco;;;Viviendas turísticas;2025M05;5.467
Total Nacional;16 País Vasco;;;Viviendas turísticas;2024M11;5.473
Total Nacional;16 País Vasco;;;Viviendas turísticas;2024M08;5.828
Total Nacional;16 País Vasco;;;Viviendas turísticas;2024M02;5.140
Total Nacional;16 País Vasco;;;Viviendas turísticas;2023M08;5.121
Total Nacional;16 País Vasco;;;Viviendas turísticas;2023M02;4.353
Total Nacional;16 País Vasco;;;Viviendas turísticas;2022M08;4.693
Total Nacional;16 País Vasco;;;Viviendas turísticas;2022M02;3.995
Total Nacional;16 País Vasco;;;Viviendas turísticas;2021M08;4.354
Total Nacional;16 País Vasco;;;Viviendas turísticas;2021M02;4.016
Total Nacional;16 País Vasco;;;Viviendas turísticas;2020M08;4.598
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas turísticas;2025M11;255
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas turísticas;2025M05;368
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas turísticas;2024M11;389
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas turísticas;2024M08;407
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas turísticas;2024M02;346
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas turísticas;2023M08;320
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas turísticas;2023M02;332
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas turísticas;2022M08;325
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas turísticas;2022M02;279
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas turísticas;2021M08;328
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas turísticas;2021M02;300
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas turísticas;2020M08;332
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas turísticas;2025M11;2.546
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas turísticas;2025M05;2.863
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas turísticas;2024M11;2.811
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas turísticas;2024M08;2.947
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas turísticas;2024M02;2.611
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas turísticas;2023M08;2.545
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas turísticas;2023M02;2.064
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas turísticas;2022M08;2.074
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas turísticas;2022M02;1.805
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas turísticas;2021M08;1.928
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas turísticas;2021M02;1.829
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas turísticas;2020M08;2.025
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas turísticas;2025M11;1.982
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas turísticas;2025M05;2.236
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas turísticas;2024M11;2.273
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas turísticas;2024M08;2.474
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas turísticas;2024M02;2.183
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas turísticas;2023M08;2.256
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas turísticas;2023M02;1.957
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas turísticas;2022M08;2.294
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas turísticas;2022M02;1.911
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas turísticas;2021M08;2.098
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas turísticas;2021M02;1.887
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas turísticas;2020M08;2.241
Total Nacional;17 Rioja, La;;;Viviendas turísticas;2025M11;1.332
Total Nacional;17 Rioja, La;;;Viviendas turísticas;2025M05;1.360
Total Nacional;17 Rioja, La;;;Viviendas turísticas;2024M11;1.380
Total Nacional;17 Rioja, La;;;Viviendas turísticas;2024M08;1.403
Total Nacional;17 Rioja, La;;;Viviendas turísticas;2024M02;1.263
Total Nacional;17 Rioja, La;;;Viviendas turísticas;2023M08;1.228
Total Nacional;17 Rioja, La;;;Viviendas turísticas;2023M02;1.105
Total Nacional;17 Rioja, La;;;Viviendas turísticas;2022M08;1.155
Total Nacional;17 Rioja, La;;;Viviendas turísticas;2022M02;1.050
Total Nacional;17 Rioja, La;;;Viviendas turísticas;2021M08;1.110
Total Nacional;17 Rioja, La;;;Viviendas turísticas;2021M02;1.061
Total Nacional;17 Rioja, La;;;Viviendas turísticas;2020M08;1.139
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas turísticas;2025M11;1.332
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas turísticas;2025M05;1.360
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas turísticas;2024M11;1.380
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas turísticas;2024M08;1.403
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas turísticas;2024M02;1.263
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas turísticas;2023M08;1.228
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas turísticas;2023M02;1.105
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas turísticas;2022M08;1.155
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas turísticas;2022M02;1.050
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas turísticas;2021M08;1.110
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas turísticas;2021M02;1.061
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas turísticas;2020M08;1.139
